,phi,rho,gear
0,0.0077949423423883625,898.0272824363411,1
1,0.0077949423423883625,898.0272824363411,1
2,0.0010905121086089591,917.0005452561084,0
3,0.0010905121086089591,917.0005452561084,0
57,0.0073994421199419435,946.0258981655841,1
59,0.014020393652952635,1783.175257791561,2
60,0.014509259871455304,1654.1741141729913,2
61,0.01251356750054256,879.0688255193674,2
62,0.006223986020535215,964.0186720183381,1
63,0.007268823173473502,963.0254409931235,1
64,0.011086020322048962,1353.0831460039697,2
65,0.014067067362275639,1706.1688075920272,2
66,0.014067067362275639,1706.1688075920272,2
67,0.014020393652952635,1783.175257791561,2
68,0.014622129911323636,1778.1900910757545,2
69,0.014192595373267732,1550.1561211697356,2
70,0.014233914082815009,843.0854049264523,2
71,0.00665916904625198,901.0199775809635,1
75,0.008403163547646988,714.0252096389875,1
76,0.008403163547646988,714.0252096389875,1
77,0.005417065105359764,923.0135426958805,0
78,0.00851949568432254,939.0340781888589,1
79,0.0010940914671640283,914.0005470457882,0
80,0.0022573325089903784,886.0022573334675,0
81,0.0022573325089903784,886.0022573334675,0
82,0.0022573325089903784,886.0022573334675,0
83,0.0014326637762532108,1396.0014326640212,0
84,0.01668365767742672,899.1251303350385,0
85,0.014456824083495426,830.0867424552689,2
86,0.01359748827699992,956.0883850356096,2
87,0.01359748827699992,956.0883850356096,2
88,0.013708818580901833,1240.1165267828665,2
89,0.013708818580901833,1240.1165267828665,2
90,0.0068180761674847944,880.0204543077393,1
93,0.0011173179708009117,895.0005586590435,0
94,0.002134468476729234,937.0021344692871,0
95,0.002134468476729234,937.0021344692871,0
96,0.002134468476729234,937.0021344692871,0
97,0.00449435176146074,890.0089887186533,0
98,0.00774320807427117,904.0271013636705,1
99,0.00774320807427117,904.0271013636705,1
100,0.00440525784681086,908.0088105299419,0
101,0.005246541577039117,953.0131163840297,0
102,0.00806867911816762,1859.0605154217008,1
103,0.014751300858281509,949.103260978488,2
104,0.014751300858281509,949.103260978488,2
105,0.014317032247160027,1327.1360141296745,2
106,0.014317032247160027,1327.1360141296745,2
107,0.014395461787235237,1806.1871442350596,2
108,0.014395461787235237,1806.1871442350596,2
111,0.011273479547471123,887.0563679947289,2
112,0.006718823868465772,893.0201565474321,1
113,0.008218993007807448,1095.0369856767395,1
114,0.008463339589850757,1536.0550120357018,1
115,0.012057293489809849,1244.0904307967328,2
117,0.014232038490831291,1897.1921357627434,2
118,0.01566319596911879,1979.242784501184,2
119,0.021817455611291576,1329.3163656556703,3
120,0.02244520962726696,1470.3703615076033,3
121,0.021415734777548122,1494.3426648530115,3
122,0.022285466593729247,1660.4122981958426,3
123,0.021819386515804486,1558.370944287656,3
125,0.022116911762417535,1311.3207082937415,3
126,0.022993567813610533,1261.3334214235347,3
127,0.022071470451584807,1359.3310854975693,3
128,0.022169316373299136,1353.3325533659493,3
129,0.022169316373299136,1353.3325533659493,3
130,0.022109418852583607,1221.2984893137304,3
131,0.022371482215197608,1162.290841399002,3
132,0.022498453364192587,1111.2812425304405,3
133,0.02192631009880022,1140.2740898573466,3
134,0.022276786099825144,1526.378721025683,3
135,0.022276786099825144,1526.378721025683,3
137,0.021527774214961454,1254.2906361764803,3
138,0.021527774214961454,1254.2906361764803,3
139,0.021722593463524908,1657.391022058464,3
140,0.021722593463524908,1657.391022058464,3
141,0.021866154182256403,2332.557609149236,3
