,speed,rpm,load
2159,50,1613,4
2160,48,1573,40
2161,50,1612,19
2162,51,1628,5
2163,50,1597,36
2171,33,1532,26
2172,37,1600,9
2173,37,1602,37
2174,37,1647,20
2175,37,1715,7
2176,36,1619,31
2177,36,1575,25
2178,36,1620,43
2179,37,1766,65
2180,49,2227,76
2181,58,2625,58
2182,52,877,21
2184,39,1756,35
2185,40,1793,42
2186,44,1988,43
2187,51,2340,67
2188,48,1550,54
2189,51,1644,6
2190,50,1598,50
2191,50,1613,12
2193,51,1647,16
2194,53,1698,23
2195,54,1730,7
2196,53,1679,6
2197,51,1643,7
2198,53,1691,30
2199,55,1797,49
2200,57,1824,6
2203,39,1812,43
2204,52,2279,79
2205,43,1978,11
2206,46,2070,53
2207,56,2525,63
2208,57,1870,51
2209,69,2248,100
2210,66,2175,47
2211,66,2175,47
2212,71,2305,67
2213,71,2305,67
2222,47,2149,47
2223,48,2172,5
2224,48,2170,14
2225,52,2335,31
2226,52,2393,41
2227,53,2393,6
2228,51,2272,6
2229,48,2191,11
2230,52,2352,66
2233,55,1769,41
2237,58,1889,38
2238,58,1865,21
2240,51,1635,7
2241,49,2226,56
2242,45,2093,49
2243,49,2216,54
2244,55,1775,99
2245,58,1888,72
2246,63,2032,43
2247,63,2032,43
2248,67,2163,50
2249,67,2163,50
2254,61,1499,36
2255,61,1499,36
2256,61,1491,5
2257,61,1491,5
2258,61,1479,52
2259,61,1479,52
2260,60,1492,14
2261,60,1492,14
2262,61,1488,35
2263,61,1488,35
2264,59,1438,19
2265,59,1438,19
2266,58,1408,50
2267,60,1471,85
2268,63,1543,67
2269,64,1554,38
2270,65,1604,90
2271,69,1667,44
2272,71,1739,92
2273,72,1745,3
2274,69,1681,67
2275,75,1835,83
2276,83,1993,81
2278,68,1681,18
2280,60,1468,6
2281,55,879,19
2282,57,1826,38
2283,59,1907,65
2284,59,1907,65
2285,67,2182,85
2286,67,2182,85
2287,80,2587,100
2288,80,2587,100
2289,91,2953,100
2290,91,2953,100
2291,102,3290,100
2292,102,3290,100
2293,105,2560,100
2294,105,2560,100
2295,113,2759,100
2296,113,2759,100
2297,119,2908,97
2299,89,900,25
2300,87,2895,24
2304,104,2513,1
2305,106,2552,1
2307,98,2473,1
2308,98,2473,1
2309,98,2400,72
2310,98,2400,72
2313,96,2328,12
2314,96,2328,12
2318,78,886,28
2319,63,921,27
2320,52,916,28
2321,32,923,29
2322,26,1167,44
2323,30,1390,74
2324,40,1806,56
2325,42,1361,32
2326,41,1322,14
2327,40,890,28
2328,31,915,25
2329,12,829,32
2330,21,1522,61
2331,35,2194,2
2332,38,1737,47
2333,47,2122,57
2334,53,2403,44
2335,52,878,23
2336,51,911,23
2337,45,917,24
2338,45,917,24
2339,43,919,26
2340,43,919,26
2341,33,919,25
2342,33,919,25
2343,6,911,29
2344,6,911,29
2345,5,915,29
2346,5,915,29
2347,4,913,31
2348,4,913,31
2364,1,805,83
2365,7,941,19
2387,6,1087,47
2388,12,1289,34
2389,8,1300,34
2392,17,1234,31
2393,17,1814,67
2394,17,1199,16
2395,31,1520,73
2396,41,1877,45
2397,41,1877,45
2398,41,1877,45
2399,42,1353,19
2400,42,1353,19
2401,42,1353,19
2402,42,1364,47
2403,42,1364,47
2404,42,1364,47
2405,45,1453,30
2406,45,1454,16
2409,38,1236,17
2410,37,1188,21
2411,39,1254,51
2412,40,1281,35
2413,40,1297,36
2414,40,1298,38
2415,41,1317,43
2416,43,1398,7
2419,34,1089,74
2421,26,849,29
2422,20,883,34
2423,19,1338,58
2424,26,1805,37
2425,29,1968,21
2426,33,1496,47
2427,36,1637,5
2428,35,1578,2
2429,34,1546,46
2430,33,1502,42
2432,30,1340,33
2434,26,867,30
2435,22,1557,13
2436,15,1006,5
2437,14,994,48
2438,15,1094,49
2439,21,1548,50
2440,36,2471,55
2441,35,884,25
2442,25,915,25
2443,22,914,28
2444,16,914,31
2445,16,914,31
2446,11,769,72
2447,10,877,84
2448,12,821,89
2449,13,976,76
2450,14,940,76
2451,13,925,33
2452,16,1105,19
2453,14,1023,25
2454,20,1409,28
2455,21,1455,28
2456,21,1455,28
2457,16,1089,23
2458,16,1089,23
2459,19,1344,36
2460,19,1344,36
2461,21,1344,31
2462,20,1434,31
2463,23,1541,31
2464,23,1552,42
2467,15,1065,67
2468,26,1860,23
2469,27,1937,43
2471,37,1677,52
2472,37,1677,52
2473,40,1819,9
2474,40,1819,9
2475,42,1918,42
2476,42,1918,42
2477,48,2096,10
2478,48,2096,10
2479,50,1589,11
2480,50,1589,11
2481,51,1665,56
2482,51,1665,56
2483,54,1271,46
2484,54,1271,46
2485,57,1380,41
2486,57,1380,41
2487,57,1386,39
2488,57,1386,39
2489,57,1392,20
2490,57,1392,20
2491,57,1385,5
2492,57,1385,5
2493,54,1321,2
2494,54,1321,2
2495,55,1343,49
2496,55,1343,49
2497,55,1345,7
2498,55,1345,7
2502,50,1221,82
2503,51,882,19
2504,49,909,25
2505,32,918,25
2506,15,916,27
2507,6,909,32
2508,1,919,34
2525,1,926,38
2526,1,926,38
2560,5,910,71
2561,3,890,52
2562,3,861,69
2563,15,1860,41
2564,11,905,81
2565,14,959,52
2566,19,1376,55
2567,28,1993,38
2568,31,1397,61
2569,35,1558,17
2570,33,1511,10
2571,32,1479,10
2572,34,1524,39
2573,37,1687,32
2574,42,1900,69
2575,45,1437,27
2576,44,1411,9
2578,38,1197,7
2579,35,1142,1
2580,31,869,14
2582,20,898,72
2583,24,1070,56
2584,25,1116,37
2585,24,1092,27
2586,29,1326,63
2587,36,1632,45
2588,37,1683,5
2591,37,1691,54
2592,47,2128,61
2595,27,900,28
2603,1,923,43
2605,1,918,47
2624,1,896,64
2625,1,896,64
2626,3,905,63
2627,3,905,63
2630,3,901,62
2631,3,901,62
2632,12,1353,3
2633,12,1353,3
2634,18,1285,52
2635,26,1821,54
2636,30,1340,57
2637,30,1376,10
2638,35,1558,45
2639,39,1762,41
2640,42,1327,54
2641,42,1358,17
2642,41,1335,13
2645,36,1172,34
2646,36,1144,23
2648,17,868,34
2649,11,860,32
2650,6,842,75
2651,16,1156,80
2652,30,2120,64
2653,35,1605,54
2654,36,1613,25
2655,37,1669,10
2657,33,873,3
2658,22,910,28
2659,6,917,43
2660,5,870,90
2661,11,838,96
2662,22,1313,1
2663,22,1313,1
2664,28,1193,78
2665,28,1193,78
2666,30,1521,52
2667,30,1521,52
2670,42,1341,45
2671,42,1341,45
2672,42,1367,41
2673,43,1401,35
2674,44,1408,23
2675,43,1398,24
2676,44,1411,28
2677,40,1261,3
2678,39,1279,63
2679,46,1487,74
2680,36,919,15
2681,31,1356,10
2682,31,1373,52
2683,27,1301,28
2684,27,1301,28
2685,25,1080,42
2686,25,1080,42
2687,27,1231,41
2688,27,1231,41
2689,28,1285,49
2690,28,1285,49
2691,32,1445,30
2692,32,1445,30
2693,31,1376,5
2694,31,1376,5
2695,24,864,34
2696,21,920,27
2697,16,915,28
2698,14,919,29
2699,7,915,31
2700,8,1002,45
2701,6,853,38
2702,4,938,49
2703,11,1446,50
2704,17,1227,74
2705,29,2100,63
2706,32,1439,57
2707,34,1552,38
2708,36,1643,46
2709,38,1720,45
2710,37,1646,41
2711,29,870,24
2712,24,911,27
2713,22,916,27
2714,21,924,26
2715,19,917,27
2716,5,916,30
2717,5,916,30
2718,7,962,70
2719,7,962,70
2720,10,1385,52
2721,10,1385,52
2722,20,1427,69
2723,20,1427,69
2724,27,1561,54
2725,27,1561,54
2726,35,1392,49
2727,37,910,49
2728,34,915,25
2729,22,918,27
2730,15,844,27
2731,16,1290,58
2732,23,1618,9
2735,16,1216,57
2736,16,959,54
2737,14,919,10
2738,15,1156,41
2739,17,1167,45
2740,24,1720,63
2741,37,2614,53
2742,42,1887,64
2744,51,1653,29
2746,47,1498,29
2748,43,1394,1
2749,23,890,26
2750,12,834,9
2751,13,951,93
2752,25,1785,75
2753,33,1501,32
2754,35,1573,43
2755,41,1884,59
2756,44,1966,6
2758,38,1702,6
2759,35,1673,20
2762,17,1192,56
2763,20,1394,20
2764,21,1418,9
2766,9,731,85
2767,17,1216,61
2768,18,1324,24
2769,26,1891,61
2771,38,1719,5
2772,32,1449,9
2773,35,1562,15
2774,36,1616,16
2775,33,1503,18
2776,35,1558,7
2777,32,1440,20
2778,36,1625,39
2779,39,1784,43
2780,41,1880,5
2783,30,1317,40
2784,25,888,28
2785,4,861,71
2786,6,887,54
2787,9,906,79
2788,9,947,48
2789,11,898,74
2790,12,896,59
2791,9,876,45
2793,3,903,49
2795,2,907,56
2796,2,927,50
2797,2,911,47
2798,2,912,42
2801,1,888,66
2802,1,888,66
2803,2,905,55
2804,2,905,55
2809,1,910,52
2811,8,1054,81
2812,19,1551,5
2813,26,901,17
2814,18,909,28
2815,7,907,32
2912,1,921,61
2913,3,911,72
2914,4,914,70
2915,2,925,45
2916,9,1182,78
2917,16,1159,46
2918,22,1535,16
2919,27,1882,48
2920,32,2244,58
2921,33,2287,42
2922,32,1481,36
2923,35,1546,7
2924,27,1242,17
2925,28,1276,14
2926,21,947,16
2927,15,1024,43
2928,22,1564,46
2929,26,1822,38
2930,26,1850,38
2931,24,1724,9
2932,24,1589,15
2933,23,1584,15
2934,21,1490,15
2935,20,1396,15
2936,20,1367,15
2937,25,1656,32
2939,13,895,52
2940,7,895,45
2941,7,895,94
2942,19,1239,51
2943,22,1583,29
2944,22,1618,24
2945,21,1512,18
2946,20,1339,5
2947,16,1186,36
2948,18,1306,36
2950,10,858,37
2951,10,874,70
2952,15,1082,63
2953,18,1253,61
2954,23,1637,25
2955,22,1551,28
2956,26,1834,41
2957,26,1783,6
2958,20,1419,18
2959,19,1340,52
2960,31,2206,65
2961,37,1690,63
2962,42,1895,1
2963,40,1776,9
2965,34,1508,1
2966,30,1343,10
2967,30,1370,23
2968,30,1368,18
2970,16,1003,1
2971,18,1281,67
2972,22,1570,23
2973,24,1714,26
2974,25,1791,33
2975,28,1969,44
2976,30,1372,31
2979,27,1233,24
2980,27,1233,24
2981,29,1310,43
2982,29,1319,19
2983,20,865,33
2984,17,1233,29
2985,25,1734,38
2987,14,1013,55
2988,14,1243,79
2989,27,1909,53
2990,25,1806,24
2991,29,2030,50
2992,31,2136,38
2993,33,2258,18
2995,28,1261,14
2996,28,1261,14
2997,32,1429,3
2999,30,1337,11
3000,32,1452,5
3001,33,1576,5
3003,21,877,30
3005,11,868,71
3007,6,896,32
3008,6,896,32
3009,4,897,32
3010,5,922,31
3015,8,958,51
3016,2,880,45
3017,2,880,45
3018,3,900,35
3019,3,900,35
3020,2,927,38
3021,2,927,38
3022,1,921,39
3023,1,921,39
3024,1,854,46
3025,5,911,34
3026,4,919,32
3027,1,919,32
3029,1,878,50
3032,5,927,22
3033,8,950,45
3034,16,2064,46
3035,16,1122,56
3036,25,1798,28
3037,26,1839,46
3038,26,1820,9
3039,26,1797,5
3040,23,1583,3
3041,24,1642,16
3042,22,1525,4
3043,22,1607,50
3044,25,1741,4
3046,13,918,29
3047,13,918,29
3048,17,1205,12
3049,17,1205,12
3050,11,839,38
3051,13,928,61
3052,13,916,30
3053,15,1002,1
3055,5,823,89
3056,13,943,89
3057,19,1319,10
3058,15,1031,14
3059,15,1031,14
3060,13,924,29
3061,14,977,64
3062,15,1072,34
3063,16,1127,47
3064,18,1244,36
3065,17,1227,20
3066,18,1271,30
3067,18,1273,30
3069,14,1078,70
3070,19,1288,23
3071,19,1331,27
3073,24,1717,25
3075,24,1706,17
3076,22,1612,9
3077,22,1523,14
3078,18,1268,16
3079,16,1119,3
3080,16,1104,30
3081,17,1165,33
3082,14,995,4
3083,13,904,36
3084,13,904,43
3085,9,921,37
3086,8,921,37
3087,9,944,37
3088,8,911,47
3089,8,915,61
3090,12,834,97
3091,18,1263,48
3092,21,1516,28
3093,23,1631,23
3094,22,1534,11
3095,21,1474,12
3096,23,1598,35
3097,24,1647,12
3098,25,1680,14
3099,27,1899,52
3101,29,1302,13
3102,34,1518,46
3103,36,1623,20
3106,20,917,35
3107,19,912,36
3108,16,916,36
3109,14,919,37
3110,9,919,38
3112,1,1144,55
3114,7,880,39
3115,7,911,38
3116,7,922,40
3117,8,964,24
3118,7,892,36
3136,4,804,39
3137,3,902,45
3138,4,929,37
3139,3,855,64
3140,1,922,37
3144,2,922,54
3145,7,919,72
3146,7,906,34
3147,7,910,38
3148,4,880,58
3149,5,923,34
3150,5,875,61
3151,7,917,43
3152,7,914,39
3153,7,920,40
3154,4,921,36
3155,1,920,36
3160,1,1004,45
3161,6,899,27
3162,2,895,41
3163,4,942,28
3164,1,916,36
3166,8,991,58
3167,11,1330,4
3168,8,1010,34
3169,8,893,30
3170,7,923,34
3171,7,914,37
3172,7,921,38
3173,7,923,36
3174,3,886,36
3175,7,875,15
3176,7,917,38
3177,7,928,38
3182,8,863,67
3183,6,895,33
3184,6,895,44
3185,5,922,34
3186,2,896,44
3187,1,922,36
3189,1,932,45
3195,5,885,66
3196,6,876,45
3197,2,894,43
3198,5,945,28
3199,5,831,83
3200,9,1170,45
3201,10,1311,4
3202,7,948,21
3203,8,1035,40
3204,9,1008,15
3205,7,911,31
3206,5,923,30
3207,5,981,32
3208,2,900,36
3215,2,931,51
3216,2,918,38
3217,6,878,87
3218,5,890,36
3219,11,1499,56
3220,13,888,25
3221,10,902,35
3222,10,938,58
3223,7,898,54
3224,13,883,89
3225,14,969,20
3226,12,869,39
3227,9,921,34
3228,6,922,34
3229,3,920,35
3245,12,1549,32
3246,12,1492,9
3247,9,1202,14
3248,7,935,21
3249,9,1071,11
3250,9,1146,32
3251,11,1319,16
3252,9,1239,40
3254,13,1626,24
3255,8,969,9
3256,3,911,29
3257,6,870,65
3258,14,1699,40
3259,10,1252,6
3260,10,1225,29
3261,8,950,14
3262,7,921,33
3263,7,920,20
3264,7,922,33
3265,7,918,36
3266,7,921,35
3267,5,937,33
3334,6,1352,28
3335,7,889,36
3336,4,905,37
3337,8,981,35
3338,3,912,36
3339,8,998,39
3340,3,838,63
3341,8,843,32
3342,8,965,55
3343,7,900,38
3344,11,1341,24
3345,10,1261,38
3346,7,898,22
3347,7,890,40
3375,14,1843,58
3376,21,1721,61
3377,26,1236,21
3378,34,1514,65
3379,35,1569,24
3380,38,1696,45
3381,39,1738,3
3382,48,2176,92
3384,52,1683,75
3387,44,1427,77
3388,53,1699,72
3390,46,1472,9
3392,41,1337,65
3393,45,1465,66
3394,53,1705,64
3395,63,2060,99
3396,76,2471,84
3397,78,1906,94
3398,78,1906,94
3399,78,1906,94
3400,85,2081,72
3401,85,2081,72
3402,88,2076,13
3403,88,2076,13
3409,62,1512,69
3412,38,851,20
3413,26,930,23
3414,19,918,23
3415,16,1278,45
3416,25,1774,31
3417,22,1587,9
3419,1,896,24
3421,3,1087,87
3422,7,878,35
3423,3,933,30
3437,14,894,22
3438,11,854,43
3439,10,897,65
3440,10,1041,39
3441,12,889,72
3442,15,1089,58
3443,19,1383,38
3444,23,1656,26
3445,26,1790,11
3446,24,1676,12
3447,24,1761,29
3449,28,2072,19
3450,36,2554,52
3452,15,891,23
3453,5,915,23
3454,1,914,25
3457,12,1579,51
3459,15,1040,9
3460,10,906,27
3461,2,917,23
3462,1,885,41
3463,1,924,23
3464,3,866,58
3465,1,918,23
3467,6,883,63
3468,2,917,22
3478,3,876,73
3479,14,1904,36
3480,18,1891,36
3481,22,1516,18
3482,21,1506,1
3484,24,1628,2
3487,18,1280,18
3488,26,1869,62
3490,36,1621,50
3491,36,1624,7
3492,37,1649,14
3493,36,1591,8
3494,35,1544,7
3496,34,1561,55
3497,44,2026,72
3498,53,2197,1
3499,51,1638,1
3501,39,1270,10
3502,41,1336,60
3504,39,1267,70
3505,40,1263,22
3507,37,1197,4
3508,33,1049,1
3509,32,1033,5
3510,29,943,16
3511,32,1230,22
3512,36,1628,52
3513,39,1790,68
3514,39,1790,68
3515,45,2030,47
3516,44,1976,36
3517,46,2012,18
3519,35,1594,53
3520,35,1594,53
3521,35,1601,7
3522,42,1909,52
3523,42,1925,20
3524,45,1685,1
3525,48,1555,35
3526,53,1713,43
3527,56,1811,21
3528,56,1811,21
3529,58,1859,24
3530,58,1859,24
3531,59,1908,24
3532,59,1908,24
3533,63,2029,46
3534,66,2140,41
3535,72,2342,67
3537,75,1836,38
3538,77,1866,40
3539,77,1874,40
3540,78,1894,1
3541,77,1871,26
3542,77,1880,26
3543,77,1865,38
3544,77,1880,36
3547,75,1761,1
3553,75,1509,16
3554,75,1509,16
3555,62,1509,19
3556,62,1509,19
3557,60,1473,27
3558,60,1473,27
3559,60,1473,27
3564,55,1335,32
3565,55,1335,32
3566,55,1330,11
3567,55,1330,11
3570,49,1574,15
3571,47,1532,13
3572,50,1619,48
3573,48,1557,5
3575,39,1255,59
3576,40,1303,25
3577,42,1364,67
3578,46,1495,51
3579,46,1495,51
3580,48,1560,26
3581,49,1578,27
3582,50,1630,38
3583,51,1649,28
3584,54,1743,38
3585,56,1794,40
3586,56,1811,37
3587,58,1875,39
3588,57,1860,18
3589,57,1854,34
3590,59,1894,38
3591,60,1924,32
3593,60,1459,33
3594,59,1452,33
3595,60,1458,37
3596,60,1464,29
3597,59,1442,31
3598,59,1437,37
3599,59,1446,36
3600,60,1463,39
3601,59,1429,1
3602,57,1405,4
3603,56,1350,3
3605,32,914,22
3606,35,1588,27
3607,37,1693,16
3608,40,1801,30
3609,41,1839,30
3610,41,1814,30
3611,38,1752,30
3612,37,1652,30
3614,36,1638,17
3616,25,1169,4
3617,20,877,20
3618,20,1309,4
3619,22,1646,37
3620,28,1710,1
3621,31,1435,43
3622,31,1435,43
3623,36,1621,61
3624,36,1621,61
3625,43,1956,49
3626,43,1956,49
3627,44,1979,5
3628,44,1979,5
3629,41,1829,6
3630,41,1829,6
3631,40,1806,5
3632,38,1728,36
3633,40,1815,5
3635,37,1653,38
3636,38,1181,50
3637,38,1181,50
3638,38,1181,50
3639,41,1338,60
3640,41,1338,60
3641,42,1369,49
3642,42,1369,49
3643,43,1375,41
3644,43,1375,41
3645,43,1401,4
3646,43,1401,4
3647,44,1424,16
3648,45,1455,7
3649,43,1395,5
3650,46,1482,56
3651,47,1514,17
3652,46,1492,18
3653,47,1512,30
3654,45,1469,10
3655,44,1429,10
3656,44,1412,29
3657,44,1420,27
3658,43,1381,2
3660,39,1274,49
3661,43,1400,56
3662,45,1456,46
3663,48,1543,45
3664,49,1578,16
3665,50,1607,30
3666,50,1651,17
3667,51,1628,18
3668,50,1616,19
3669,52,1690,47
3670,54,1719,5
3673,31,888,11
3674,30,2148,47
3676,38,1759,10
3678,44,1968,30
3679,45,1979,45
3680,47,2062,44
3681,45,2059,31
3682,49,2223,34
3684,43,1905,11
3686,39,1814,51
3687,44,1979,28
3688,44,1967,10
3690,40,1288,67
3691,43,1380,48
3694,33,907,22
3695,33,907,22
3696,32,2203,33
3697,32,2203,33
3698,35,1592,51
3699,35,1592,51
3700,41,1848,3
3701,41,1848,3
3702,42,1888,41
3703,41,1863,23
3704,38,1726,3
3705,29,1295,42
3706,34,1525,45
3707,38,1737,56
3708,35,1592,1
3709,36,1625,50
3710,37,1689,12
3711,36,1658,48
3712,40,1783,27
3713,39,1751,37
3714,39,1751,37
3715,39,1772,41
3716,39,1772,41
3717,41,1829,39
3718,41,1829,39
3719,41,1854,14
3720,41,1854,14
3723,31,1414,31
3724,31,1414,31
3725,36,1653,42
3726,41,1849,30
3727,43,1911,16
3728,43,1909,23
3730,31,1410,32
3731,33,1628,43
3733,34,1517,9
3734,35,1553,12
3735,35,1591,9
3736,35,1600,5
3737,35,1598,3
3741,33,1515,30
3742,36,1600,15
3744,20,1416,19
3745,19,1472,3
3746,31,2210,68
3747,31,1378,39
3748,34,1570,49
3750,43,2024,27
3751,44,1990,4
3752,39,1722,10
3753,42,1931,65
3754,42,1931,65
3757,51,1659,61
3758,51,1659,61
3759,52,1688,40
3760,52,1688,40
3761,53,1711,25
3762,53,1711,25
3763,54,1755,27
3764,54,1755,27
3765,56,1822,62
3766,56,1822,62
3767,56,1806,16
3768,56,1806,16
3769,53,1685,4
3770,53,1685,4
3771,48,1536,5
3772,48,1536,5
3773,45,1461,19
3774,45,1461,19
3777,44,1433,37
3778,44,1433,37
3779,46,1475,3
3780,46,1475,3
3783,45,1444,18
3784,45,1444,18
3785,49,1568,49
3786,49,1568,49
3787,48,1539,40
3788,48,1539,40
3789,49,1584,44
3790,49,1584,44
3791,51,1637,41
3792,51,1637,41
3793,52,1681,33
3794,51,1652,34
3795,50,1598,1
3796,46,1492,5
3797,37,882,21
3798,30,912,21
3799,25,919,21
3801,20,1388,54
3802,24,1705,67
3803,39,2809,85
3804,45,2061,84
3806,47,1514,69
3807,50,1621,61
3808,53,1727,47
3809,57,1850,70
3810,60,1940,51
3811,59,1452,61
3812,59,1423,4
3813,58,1384,17
3817,47,1142,81
3818,48,1187,58
3819,48,1187,58
3820,48,1193,58
3821,48,1193,58
3822,51,1208,72
3823,51,1208,72
3826,61,1438,71
3827,61,1438,71
3828,63,1528,7
3832,50,1614,29
3833,51,1651,18
3834,51,1614,9
3835,50,1619,34
3836,52,1690,29
3837,56,1822,69
3838,64,2060,65
3841,64,2055,4
3842,64,2055,4
3843,62,2001,40
3844,62,2001,40
3847,62,1989,6
3848,62,1989,6
3851,59,1914,5
3852,59,1914,5
3853,60,1943,1
3854,60,1943,1
3861,37,1596,31
3862,43,1968,58
3863,42,1966,16
3864,46,2070,47
3865,53,2408,76
3866,57,1844,78
3867,56,1828,43
3868,56,1814,4
3869,56,1814,4
3870,54,1761,32
3871,54,1761,32
3872,54,1755,37
3873,55,1798,40
3874,55,1791,5
3875,63,2044,59
3876,66,1046,19
3877,66,1574,7
3878,66,1606,56
3879,69,1680,58
3880,67,1619,1
3881,67,1619,1
3882,67,1619,1
3883,63,1531,9
3884,63,1531,9
3885,63,1531,9
3886,63,1536,50
3887,63,1536,50
3888,63,1536,50
3889,68,1649,63
3890,68,1649,63
3891,68,1649,63
3892,70,1682,15
3893,70,1682,15
3894,68,1657,12
3895,69,1685,41
3898,60,1472,58
3899,65,1583,74
3900,69,1675,43
3901,69,1675,43
3902,69,1664,16
3903,69,1664,16
3904,70,1703,34
3905,70,1703,34
3906,68,1653,4
3907,68,1653,4
3908,63,1530,37
3909,63,1530,37
3910,66,1606,48
3911,66,1606,48
3912,65,1567,2
3913,65,1557,42
3914,65,1669,42
3915,71,1697,38
3916,76,1839,65
3917,79,1910,45
3918,79,1859,17
3924,64,1532,13
3925,64,1532,13
3926,62,1507,1
3927,62,1507,1
3928,61,1488,3
3929,61,1488,3
3932,55,1302,10
3933,55,1333,33
3934,57,1375,5
3938,50,1212,58
3939,50,1212,58
3940,50,923,9
3941,50,923,9
3942,51,1642,30
3943,51,1642,30
3944,56,1794,44
3945,61,1957,43
3946,62,1980,38
3947,60,1885,11
3948,56,1846,20
3949,56,1792,40
3950,53,1686,5
3952,44,1420,25
3953,45,1450,59
3954,49,1594,60
3955,50,1615,13
3956,56,1798,70
3958,61,1485,54
3959,61,1491,19
3960,62,1521,19
3962,61,1492,29
3963,63,1545,57
3964,66,1606,34
3965,66,1606,34
3966,66,1620,49
3967,66,1620,49
3968,66,1615,5
3969,66,1615,5
3970,65,1590,2
3971,65,1590,2
3972,65,1591,10
3973,65,1591,10
3974,66,1610,16
3975,68,1655,20
3977,67,901,21
3978,62,917,21
3979,63,916,22
3980,61,917,22
3981,58,922,21
3985,43,917,22
3986,41,922,21
3987,39,922,23
3989,31,896,23
3990,31,920,23
3993,43,1939,18
3994,41,897,14
3995,39,1267,69
3996,40,1297,13
3997,39,1273,45
3998,43,1382,27
3999,44,1436,44
4000,45,1446,29
4001,47,1505,27
4002,45,1432,25
4003,50,1610,41
4004,50,1628,3
4005,50,1628,3
4006,51,1649,40
4007,51,1649,40
4008,53,1709,45
4009,53,1709,45
4010,53,1698,5
4011,53,1698,5
4012,50,1603,16
4013,50,1603,16
4014,49,1586,52
4015,48,1562,27
4016,47,1534,24
4017,50,1619,37
4018,55,1787,41
4019,60,1925,54
4021,64,1569,52
4022,67,1635,25
4023,66,1618,21
4024,66,1600,19
4026,60,1449,18
4027,59,1435,23
4028,58,1438,11
4029,57,1386,9
4031,50,1602,35
4032,51,1627,33
4033,53,1716,36
4034,54,1717,9
4035,52,1685,30
4036,53,1698,28
4038,51,1637,29
4039,53,1718,41
4040,53,1718,41
4041,56,1805,44
4042,56,1805,44
4043,57,1846,43
4044,57,1846,43
4045,56,1813,32
4046,56,1813,32
4047,55,1785,41
4048,55,1785,41
4049,55,1776,41
4050,57,1830,41
4052,53,1587,14
4054,30,1410,48
4055,30,1338,15
4056,30,1338,15
4057,29,1381,69
4058,29,1381,69
4059,38,1477,82
4060,38,1477,82
4061,45,1986,60
4062,45,1986,60
4063,45,2274,60
4064,45,2274,60
4065,45,2274,60
4066,45,2401,26
4067,45,2401,26
4068,45,2401,26
4069,45,2376,32
4070,49,2233,14
4071,49,2239,36
4073,51,1651,34
4074,54,1749,11
4075,58,1874,40
4077,60,1924,9
4078,59,1931,34
4079,62,1991,63
4080,68,2188,61
4082,67,1640,42
4083,68,1661,40
4084,68,1657,27
4085,71,1717,46
4086,73,1778,36
4087,72,1779,17
4088,72,1779,17
4089,72,1779,17
4090,73,1763,42
4091,73,1763,42
4092,73,1763,42
4093,72,1754,40
4094,72,1754,40
4095,72,1754,40
4096,71,1740,40
4097,71,1740,40
4098,71,1740,40
4099,72,1759,69
4100,72,1759,69
4101,72,1759,69
4102,75,1822,57
4103,76,1852,21
4104,76,1838,25
4106,71,1720,70
4109,50,900,22
4110,45,915,21
4111,45,1439,18
4112,44,1407,9
4113,29,872,23
4114,18,850,50
4115,27,1227,84
4116,28,1442,79
4117,42,1889,72
4118,50,2302,66
4119,57,2571,60
4125,46,1474,49
4126,46,1474,49
4127,46,1474,49
4128,48,1561,68
4129,48,1561,68
4130,48,1561,68
4131,48,1397,68
4132,48,1397,68
4133,48,1397,68
4138,23,1247,70
4139,29,1247,7
4143,21,743,69
4144,21,1030,9
4145,13,948,67
4146,22,1602,64
4148,37,1662,38
4149,38,1690,2
4153,20,934,6
4154,19,1334,23
4155,22,1545,31
4157,19,1333,16
4158,21,1482,14
4159,22,1553,21
4160,25,1789,32
4161,25,1797,7
4163,20,1416,1
4164,8,867,26
4165,4,875,50
4166,10,1299,48
4167,10,1299,48
4168,22,2620,10
4169,22,2620,10
4170,22,1522,23
4171,22,1522,23
4172,25,1731,6
4173,25,1731,6
4176,25,1737,27
4177,27,1890,7
4178,27,1929,3
4179,26,870,18
4180,27,909,21
4181,28,916,21
4182,24,920,22
4183,13,919,23
4184,10,830,58
4185,11,845,71
4186,12,909,43
4187,17,918,23
4188,15,918,23
4189,12,920,23
4190,4,917,23
4191,6,849,23
4192,11,785,3
4193,17,1220,3
4194,26,878,1
4195,25,984,1
4196,25,1124,63
4197,25,1124,63
4200,30,1387,19
4201,30,1387,19
4202,30,1344,9
4203,30,1344,9
4204,30,897,23
4205,30,897,23
4206,30,897,23
4207,15,918,23
4208,15,921,24
4209,8,916,23
4210,3,921,23
4211,2,922,23
4302,19,1364,61
4303,23,1637,30
4304,31,2197,60
4305,28,1989,8
4306,27,1850,6
4307,21,1521,31
4308,21,1521,31
4309,29,2087,82
4310,29,2087,82
4311,34,2311,12
4312,34,2311,12
4313,12,854,41
4314,12,854,41
4315,7,905,69
4316,7,905,69
4317,7,930,52
4318,5,886,71
4319,8,1029,80
4320,16,1784,14
4321,15,1009,97
4322,11,785,65
4323,7,957,21
4324,7,957,21
4325,8,974,52
4326,8,974,52
4327,19,1313,29
4328,7,882,49
4329,7,882,49
4330,19,1324,29
4331,3,903,60
4332,3,903,60
4333,3,896,73
